<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,20,LAL,NBA,SG,35,3,403,33,117,.282,17,63,.270,16,54,.296,.355,18,19,.947,13,49,62,51,12,2,15,41,101
2005-06,21,LAL,NBA,PG,82,4,1449,108,312,.346,59,172,.343,49,140,.350,.441,46,52,.885,33,126,159,139,48,3,50,150,321
2006-07,22,LAL,NBA,SG,73,4,935,105,268,.392,60,161,.373,45,107,.421,.504,43,49,.878,28,79,107,64,41,1,30,103,313
2007-08,23,LAL,NBA,SG,72,0,1279,219,482,.454,118,270,.437,101,212,.476,.577,76,91,.835,19,135,154,72,36,5,52,107,632
2008-09,24,LAL,NBA,SG,80,0,1293,155,401,.387,81,223,.363,74,178,.416,.488,70,76,.921,19,116,135,113,77,7,35,154,461
2009-10,25,LAL,NBA,SG,67,1,575,66,164,.402,25,81,.309,41,83,.494,.479,28,33,.848,25,54,79,41,20,4,17,67,185
2010-11,26,TOT,NBA,SG,67,17,1648,239,595,.402,97,262,.370,142,333,.426,.483,81,96,.844,30,156,186,132,54,5,66,136,656
2010-11,26,LAL,NBA,SG,11,0,54,8,23,.348,3,7,.429,5,16,.313,.413,1,2,.500,1,3,4,5,1,0,5,7,20
2010-11,26,NJN,NBA,SG,56,17,1594,231,572,.404,94,255,.369,137,317,.432,.486,80,94,.851,29,153,182,127,53,5,61,129,636
2011-12,27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2012-13,28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,29,LAC,NBA,SG,2,0,10,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,3,3,0,1,0,3,1,5
2014-15,30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2015-16,31,NYK,NBA,SG,14,8,221,18,69,.261,5,34,.147,13,35,.371,.297,4,5,.800,9,30,39,19,8,2,13,18,45
Career,,,NBA,,492,37,7813,945,2413,.392,463,1268,.365,482,1145,.421,.488,366,421,.869,176,748,924,631,297,29,281,777,2719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,LAL,NBA,,420,12,5988,694,1767,.393,363,977,.372,331,790,.419,.495,282,322,.876,138,562,700,485,235,22,204,629,2033
1 season,,NJN,NBA,,56,17,1594,231,572,.404,94,255,.369,137,317,.432,.486,80,94,.851,29,153,182,127,53,5,61,129,636
1 season,,NYK,NBA,,14,8,221,18,69,.261,5,34,.147,13,35,.371,.297,4,5,.800,9,30,39,19,8,2,13,18,45
1 season,,LAC,NBA,,2,0,10,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,3,3,0,1,0,3,1,5